   796    3.6634    0.0492       022
  120.4000   23.9000  119.9000   26.2000    3.6469
  115.8000   27.4000  116.2000   23.8000    3.6788
  115.6000   25.0000  116.2000   23.8000    3.6004
  119.6000   28.0000  116.2000   23.8000    3.6592
  116.6000   27.5000  116.2000   23.8000    3.6656
  119.1000   27.6000  116.2000   23.8000    3.6324
  116.3000   26.3000  116.2000   23.8000    3.6989
  115.7000   27.9000  116.2000   23.8000    3.6714
  118.0000   28.4000  116.2000   23.8000    3.6408
  115.8000   25.6000  116.2000   23.8000    3.6375
  116.2000   28.2000  116.2000   23.8000    3.6496
  118.4000   24.5000  116.2000   23.8000    3.6586
  116.3000   26.3000  116.6000   24.7000    3.6447
  115.8000   27.4000  116.6000   24.7000    3.6607
  115.8000   25.6000  116.6000   24.7000    3.6299
  116.2000   28.2000  116.6000   24.7000    3.6698
  118.9000   27.4000  116.6000   24.7000    3.6353
  118.1000   26.0000  116.6000   24.7000    3.6176
  119.6000   28.0000  116.6000   24.7000    3.6548
  116.6000   23.7000  116.6000   24.7000    3.8335
  119.1000   27.6000  116.6000   24.7000    3.6361
  118.0000   28.4000  116.6000   24.7000    3.6353
  116.2000   23.8000  116.6000   24.7000    3.8052
  115.6000   25.0000  116.6000   24.7000    3.7314
  118.4000   24.5000  116.6000   24.7000    3.6467
  115.7000   27.9000  116.6000   24.7000    3.6497
  116.5000   25.0000  118.9000   26.4000    3.5984
  115.8000   27.4000  118.9000   26.4000    3.6870
  116.6000   23.7000  118.9000   26.4000    3.6695
  115.6000   25.0000  118.9000   26.4000    3.6312
  118.6000   24.9000  118.9000   26.4000    3.6750
  117.2000   26.9000  118.9000   26.4000    3.6734
  117.4000   26.0000  118.9000   26.4000    3.7113
  119.8000   25.5000  118.9000   26.4000    3.7618
  116.6000   27.5000  118.9000   26.4000    3.6699
  116.2000   28.2000  118.9000   26.4000    3.6575
  119.5000   27.4000  118.9000   26.4000    3.7085
  117.3000   24.4000  118.9000   26.4000    3.6453
  115.7000   27.9000  118.9000   26.4000    3.6818
  116.2000   23.8000  118.9000   26.4000    3.6456
  118.0000   28.4000  118.9000   26.4000    3.6406
  118.5000   27.9000  118.9000   26.4000    3.6473
  119.1000   27.6000  118.9000   26.4000    3.6290
  117.1000   25.7000  118.9000   26.4000    3.6340
  118.2000   25.3000  118.9000   26.4000    3.6890
  117.5000   27.3000  118.9000   26.4000    3.6607
  116.1000   24.3000  118.9000   26.4000    3.6287
  117.2000   26.4000  118.9000   26.4000    3.7294
  118.0000   27.7000  118.9000   26.4000    3.6276
  119.5000   25.2000  118.9000   26.4000    3.6034
  119.6000   28.0000  118.9000   26.4000    3.5837
  118.4000   24.5000  118.9000   26.4000    3.7066
  115.8000   25.6000  118.9000   26.4000    3.6416
  117.6000   24.5000  118.9000   26.4000    3.6406
  116.3000   26.3000  118.9000   26.4000    3.6914
  116.6000   24.7000  118.9000   26.4000    3.6498
  115.6000   25.0000  119.8000   25.5000    3.5941
  119.5000   27.4000  119.8000   25.5000    3.5605
  118.0000   27.7000  119.8000   25.5000    3.5928
  117.2000   26.9000  119.8000   25.5000    3.7344
  119.1000   27.6000  119.8000   25.5000    3.7504
  117.6000   24.5000  119.8000   25.5000    3.6979
  115.7000   27.9000  119.8000   25.5000    3.7025
  116.6000   27.5000  119.8000   25.5000    3.6562
  117.1000   25.7000  119.8000   25.5000    3.6844
  116.1000   24.3000  119.8000   25.5000    3.7183
  118.4000   24.5000  119.8000   25.5000    3.5644
  118.0000   28.4000  119.8000   25.5000    3.6639
  118.2000   25.3000  119.8000   25.5000    3.7194
  116.6000   23.7000  119.8000   25.5000    3.6562
  118.9000   27.4000  119.8000   25.5000    3.6453
  118.6000   24.9000  119.8000   25.5000    3.7824
  119.6000   28.0000  119.8000   25.5000    3.6893
  116.2000   28.2000  119.8000   25.5000    3.6397
  117.5000   27.3000  119.8000   25.5000    3.6462
  116.1000   24.3000  118.2000   25.3000    3.6076
  116.6000   27.5000  118.2000   25.3000    3.6045
  116.6000   23.7000  118.2000   25.3000    3.6546
  116.6000   24.7000  118.2000   25.3000    3.6288
  118.0000   28.4000  118.2000   25.3000    3.6911
  119.1000   27.6000  118.2000   25.3000    3.6358
  115.8000   25.6000  118.2000   25.3000    3.6366
  115.7000   27.9000  118.2000   25.3000    3.6316
  116.2000   28.2000  118.2000   25.3000    3.6402
  117.6000   24.5000  118.2000   25.3000    3.6870
  118.9000   27.4000  118.2000   25.3000    3.6666
  116.2000   23.8000  118.2000   25.3000    3.6586
  116.3000   26.3000  118.2000   25.3000    3.6692
  115.8000   27.4000  118.2000   25.3000    3.6426
  119.6000   28.0000  115.6000   25.0000    3.5768
  118.4000   24.5000  115.6000   25.0000    3.6469
  119.1000   27.6000  115.6000   25.0000    3.6349
  120.4000   23.9000  118.4000   24.5000    3.7048
  119.1000   27.6000  118.4000   24.5000    3.7136
  119.9000   26.2000  118.4000   24.5000    3.6909
  118.2000   25.3000  117.3000   24.4000    3.6159
  116.1000   24.3000  117.3000   24.4000    3.7640
  119.1000   27.6000  117.3000   24.4000    3.6361
  119.0000   25.4000  117.3000   24.4000    3.6957
  118.0000   28.4000  117.3000   24.4000    3.6620
  115.7000   27.9000  117.3000   24.4000    3.6191
  118.4000   24.5000  117.3000   24.4000    3.7762
  118.0000   27.7000  117.3000   24.4000    3.6524
  116.2000   23.8000  117.3000   24.4000    3.6761
  117.5000   27.3000  117.3000   24.4000    3.6364
  117.4000   26.0000  117.3000   24.4000    3.7152
  116.3000   26.3000  117.3000   24.4000    3.5769
  118.6000   24.9000  117.3000   24.4000    3.8232
  116.6000   27.5000  117.3000   24.4000    3.6362
  116.6000   23.7000  117.3000   24.4000    3.7854
  116.2000   28.2000  117.3000   24.4000    3.6372
  116.5000   25.0000  117.3000   24.4000    3.7766
  117.2000   26.9000  117.3000   24.4000    3.6738
  118.9000   27.4000  117.3000   24.4000    3.6378
  115.8000   27.4000  117.3000   24.4000    3.6501
  119.8000   25.5000  117.3000   24.4000    3.7971
  119.5000   27.4000  117.3000   24.4000    3.6426
  118.1000   26.0000  117.3000   24.4000    3.6325
  115.6000   25.0000  117.3000   24.4000    3.5814
  117.1000   25.7000  117.3000   24.4000    3.6948
  115.8000   25.6000  117.3000   24.4000    3.6415
  119.5000   25.2000  117.3000   24.4000    3.7232
  115.6000   25.0000  116.6000   27.5000    3.6986
  116.3000   26.3000  116.6000   27.5000    3.7255
  119.1000   27.6000  116.6000   27.5000    3.6161
  118.0000   28.4000  116.6000   27.5000    3.6423
  118.4000   24.5000  116.6000   27.5000    3.6362
  118.0000   28.4000  118.1000   26.0000    3.6631
  118.9000   27.4000  118.1000   26.0000    3.6578
  116.6000   23.7000  118.1000   26.0000    3.6216
  115.8000   27.4000  118.1000   26.0000    3.6394
  115.7000   27.9000  118.1000   26.0000    3.6611
  116.3000   26.3000  118.1000   26.0000    3.5935
  116.2000   23.8000  118.1000   26.0000    3.6401
  116.1000   24.3000  118.1000   26.0000    3.6421
  116.2000   28.2000  118.1000   26.0000    3.6320
  117.6000   24.5000  118.1000   26.0000    3.5715
  115.8000   25.6000  118.1000   26.0000    3.6631
  116.6000   27.5000  118.1000   26.0000    3.6270
  118.4000   24.5000  118.1000   26.0000    3.6789
  119.6000   28.0000  118.1000   26.0000    3.6229
  115.6000   25.0000  118.1000   26.0000    3.6494
  119.1000   27.6000  118.1000   26.0000    3.6330
  116.1000   24.3000  119.5000   25.2000    3.6901
  117.5000   27.3000  119.5000   25.2000    3.6821
  118.9000   27.4000  119.5000   25.2000    3.6951
  118.4000   24.5000  119.5000   25.2000    3.7004
  118.1000   26.0000  119.5000   25.2000    3.6888
  117.4000   26.0000  119.5000   25.2000    3.6469
  119.5000   27.4000  119.5000   25.2000    3.7338
  116.6000   24.7000  119.5000   25.2000    3.7039
  116.6000   27.5000  119.5000   25.2000    3.6729
  115.6000   25.0000  119.5000   25.2000    3.6590
  119.1000   27.6000  119.5000   25.2000    3.6431
  116.2000   28.2000  119.5000   25.2000    3.6746
  118.0000   27.7000  119.5000   25.2000    3.6822
  117.2000   26.9000  119.5000   25.2000    3.6781
  115.8000   27.4000  119.5000   25.2000    3.6792
  118.0000   28.4000  119.5000   25.2000    3.6497
  117.6000   24.5000  119.5000   25.2000    3.7054
  116.3000   26.3000  119.5000   25.2000    3.6631
  116.6000   23.7000  119.5000   25.2000    3.7032
  115.8000   25.6000  119.5000   25.2000    3.6449
  117.1000   25.7000  119.5000   25.2000    3.6445
  115.7000   27.9000  119.5000   25.2000    3.6779
  117.4000   26.0000  119.4000   26.0000    3.6695
  116.3000   26.3000  119.4000   26.0000    3.6586
  116.6000   27.5000  119.4000   26.0000    3.6725
  117.5000   27.3000  119.4000   26.0000    3.6679
  118.1000   26.0000  119.4000   26.0000    3.8345
  117.3000   24.4000  119.4000   26.0000    3.6937
  115.7000   27.9000  119.4000   26.0000    3.6761
  117.2000   26.9000  119.4000   26.0000    3.6819
  115.8000   25.6000  119.4000   26.0000    3.6673
  116.1000   24.3000  119.4000   26.0000    3.6430
  119.1000   27.6000  119.4000   26.0000    3.7040
  118.0000   28.4000  119.4000   26.0000    3.6485
  119.6000   28.0000  119.4000   26.0000    3.6431
  116.6000   23.7000  119.4000   26.0000    3.6962
  117.2000   26.4000  119.4000   26.0000    3.6709
  116.2000   28.2000  119.4000   26.0000    3.6505
  118.6000   24.9000  119.4000   26.0000    3.6847
  116.6000   24.7000  119.4000   26.0000    3.6066
  118.2000   25.3000  119.4000   26.0000    3.7268
  117.5000   25.0000  119.4000   26.0000    3.6374
  119.0000   25.0000  119.4000   26.0000    3.7769
  118.0000   27.7000  119.4000   26.0000    3.6450
  118.2000   26.6000  119.4000   26.0000    3.7023
  119.5000   27.4000  119.4000   26.0000    3.6837
  118.5000   27.9000  119.4000   26.0000    3.6725
  118.9000   27.4000  119.4000   26.0000    3.6190
  116.2000   23.8000  119.4000   26.0000    3.6665
  118.4000   24.5000  119.4000   26.0000    3.6828
  115.6000   25.0000  119.4000   26.0000    3.6599
  117.1000   25.7000  119.4000   26.0000    3.6970
  115.7000   27.9000  119.6000   26.7000    3.6720
  118.0000   28.4000  119.6000   26.7000    3.5979
  116.2000   23.8000  119.6000   26.7000    3.6606
  117.1000   25.7000  119.6000   26.7000    3.6481
  118.0000   27.7000  119.6000   26.7000    3.5831
  119.5000   25.2000  119.6000   26.7000    3.7610
  117.6000   24.5000  119.6000   26.7000    3.6982
  118.5000   27.9000  119.6000   26.7000    3.5726
  117.2000   26.9000  119.6000   26.7000    3.7065
  117.3000   24.4000  119.6000   26.7000    3.6775
  116.6000   23.7000  119.6000   26.7000    3.6763
  116.6000   27.5000  119.6000   26.7000    3.6697
  116.2000   28.2000  119.6000   26.7000    3.6797
  116.3000   26.3000  119.6000   26.7000    3.6713
  116.1000   24.3000  119.6000   26.7000    3.6366
  115.8000   25.6000  119.6000   26.7000    3.6288
  119.6000   28.0000  119.6000   26.7000    3.8350
  118.1000   26.0000  119.6000   26.7000    3.6155
  118.4000   24.5000  119.6000   26.7000    3.6770
  118.6000   24.9000  119.6000   26.7000    3.6485
  117.4000   26.0000  119.6000   26.7000    3.6407
  115.8000   27.4000  119.6000   26.7000    3.6944
  119.1000   27.6000  119.6000   26.7000    3.5787
  119.0000   25.4000  119.6000   26.7000    3.6708
  119.8000   25.5000  119.6000   26.7000    3.7801
  118.2000   26.6000  119.6000   26.7000    3.7676
  118.2000   25.3000  119.6000   26.7000    3.6672
  118.9000   27.4000  119.6000   26.7000    3.6631
  116.6000   24.7000  119.6000   26.7000    3.6269
  115.6000   25.0000  119.6000   26.7000    3.6471
  117.5000   27.3000  119.6000   26.7000    3.6882
  116.5000   25.0000  119.6000   26.7000    3.6018
  118.0000   27.7000  119.0000   25.0000    3.6800
  116.2000   23.8000  119.0000   25.0000    3.6675
  117.5000   27.3000  119.0000   25.0000    3.6662
  118.5000   27.9000  119.0000   25.0000    3.6851
  116.6000   24.7000  119.0000   25.0000    3.7088
  115.6000   25.0000  119.0000   25.0000    3.6851
  115.7000   27.9000  119.0000   25.0000    3.6690
  117.3000   24.4000  119.0000   25.0000    3.6801
  117.4000   26.0000  119.0000   25.0000    3.6938
  118.9000   27.4000  119.0000   25.0000    3.6300
  119.5000   27.4000  119.0000   25.0000    3.7173
  118.2000   26.6000  119.0000   25.0000    3.6595
  115.8000   27.4000  119.0000   25.0000    3.6642
  118.1000   26.0000  119.0000   25.0000    3.6677
  116.6000   23.7000  119.0000   25.0000    3.7264
  115.8000   25.6000  119.0000   25.0000    3.6496
  116.2000   28.2000  119.0000   25.0000    3.6529
  116.6000   27.5000  119.0000   25.0000    3.6428
  119.6000   28.0000  119.0000   25.0000    3.7934
  119.9000   26.4000  119.0000   25.0000    3.6702
  117.1000   25.7000  119.0000   25.0000    3.6490
  117.2000   26.4000  119.0000   25.0000    3.6721
  119.6000   26.7000  119.0000   25.0000    3.6821
  116.1000   24.3000  119.0000   25.0000    3.6635
  116.3000   26.3000  119.0000   25.0000    3.6725
  119.1000   27.6000  119.0000   25.0000    3.7114
  118.0000   28.4000  119.0000   25.0000    3.6651
  117.2000   26.9000  119.0000   25.0000    3.6539
  117.5000   27.3000  116.5000   25.0000    3.5391
  118.1000   26.0000  116.5000   25.0000    3.6203
  116.2000   23.8000  116.5000   25.0000    3.6768
  116.3000   26.3000  116.5000   25.0000    3.7456
  115.8000   27.4000  116.5000   25.0000    3.6823
  118.4000   24.5000  116.5000   25.0000    3.7349
  117.4000   26.0000  116.5000   25.0000    3.5768
  117.1000   25.7000  116.5000   25.0000    3.8340
  115.7000   27.9000  116.5000   25.0000    3.6462
  115.8000   25.6000  116.5000   25.0000    3.7621
  118.9000   27.4000  116.5000   25.0000    3.6122
  118.0000   28.4000  118.9000   27.4000    3.5183
  115.8000   25.6000  118.9000   27.4000    3.6249
  119.6000   28.0000  118.9000   27.4000    3.7612
  115.8000   27.4000  118.9000   27.4000    3.6372
  116.3000   26.3000  118.9000   27.4000    3.6582
  116.1000   24.3000  118.9000   27.4000    3.6270
  116.6000   23.7000  118.9000   27.4000    3.6330
  117.6000   24.5000  118.9000   27.4000    3.6205
  118.4000   24.5000  118.9000   27.4000    3.7155
  115.6000   25.0000  118.9000   27.4000    3.6597
  116.2000   23.8000  118.9000   27.4000    3.6404
  116.6000   27.5000  118.9000   27.4000    3.6884
  116.6000   27.5000  117.6000   24.5000    3.6627
  115.8000   25.6000  117.6000   24.5000    3.6606
  115.8000   27.4000  117.6000   24.5000    3.6334
  116.6000   23.7000  117.6000   24.5000    3.8143
  115.7000   27.9000  117.6000   24.5000    3.5757
  116.3000   26.3000  117.6000   24.5000    3.5609
  118.2000   25.3000  117.4000   26.0000    3.7258
  116.1000   24.3000  117.4000   26.0000    3.6247
  116.2000   28.2000  117.4000   26.0000    3.6216
  116.6000   27.5000  117.4000   26.0000    3.5676
  116.2000   23.8000  117.4000   26.0000    3.6196
  116.6000   23.7000  117.4000   26.0000    3.6284
  116.6000   24.7000  117.4000   26.0000    3.6099
  115.8000   25.6000  117.4000   26.0000    3.6374
  119.6000   28.0000  117.4000   26.0000    3.6946
  118.4000   24.5000  117.4000   26.0000    3.5976
  118.9000   27.4000  117.4000   26.0000    3.6126
  115.6000   25.0000  117.4000   26.0000    3.5872
  116.3000   26.3000  117.4000   26.0000    3.6894
  119.1000   27.6000  117.4000   26.0000    3.6262
  115.7000   27.9000  117.4000   26.0000    3.6146
  118.0000   28.4000  117.4000   26.0000    3.6533
  115.8000   27.4000  117.4000   26.0000    3.5867
  119.5000   27.4000  118.7000   26.4000    3.7322
  118.2000   25.3000  118.7000   26.4000    3.6634
  119.8000   25.5000  118.7000   26.4000    3.7875
  118.4000   24.5000  118.7000   26.4000    3.6762
  117.2000   26.9000  118.7000   26.4000    3.8177
  115.7000   27.9000  118.7000   26.4000    3.6884
  119.5000   25.2000  118.7000   26.4000    3.5573
  118.5000   27.9000  118.7000   26.4000    3.6773
  117.5000   27.3000  118.7000   26.4000    3.7868
  119.0000   25.0000  118.7000   26.4000    3.7306
  117.5000   25.0000  118.7000   26.4000    3.6326
  115.8000   27.4000  118.7000   26.4000    3.6809
